,assists,GameID,GameMode,baronKills,bountyLevel,champExperience,champLevel,championName,damageDealtToObjectives,damageSelfMitigated,deaths,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,kills,lane,largestCriticalStrike,largestKillingSpree,longestTimeSpentLiving,magicDamageDealtToChampions,magicDamageTaken,nexusLost,objectivesStolen,physicalDamageDealtToChampions,physicalDamageTaken,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,teamEarlySurrendered,teamId,timeCCingOthers,timePlayed,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,2,4035079666,CLASSIC,0,0,9103,12,Sylas,0,10113,6,0,True,False,False,7125,6950,MIDDLE,0,2,3102,6656,0,3158,0,0,3340,6,MIDDLE,0,3,471,13256,8536,1,0,958,9153,46,46,79,16,6,14,2,4,puG3V41xrCsK8F4EfpPnBT8wx-ONgn5K9SQecpj2r5dd-Dn3,False,100,24,1336,15440,0,18696,3584,0,95,224,141,1226,1006,0,9,7,0,0,6,False
0,1,4035079666,CLASSIC,0,0,8192,11,Vayne,3672,5348,4,0,False,True,False,8622,8325,BOTTOM,0,2,3153,6672,3006,0,1055,2055,3340,4,MIDDLE,348,3,676,77,4631,1,0,6832,6908,45,0,8,5,4,7,3,4,6pOU89s32m6IQTB4QEsm2t_NHKvdSVzMOf5bOorqkJVOzyg,False,100,7,1336,8304,0,11945,3443,690,153,9,112,1394,405,1,9,7,1,1,6,False
0,6,4035079666,CLASSIC,0,0,5921,9,Thresh,279,10725,5,0,True,False,False,5090,4375,UTILITY,0,2,3190,3860,2055,3111,0,0,3364,0,MIDDLE,0,0,517,3687,6359,1,0,354,4567,30,18,16,6,4,14,4,4,Z3bCBCFB_kNt7l42aP5ILoPcAlwwyZ_8Tlr6ugi9EDbimoU,False,100,21,1336,4691,745,11457,0,0,29,84,125,650,530,0,9,35,3,2,16,False
0,10,4035079666,CLASSIC,0,2,10707,13,Malphite,1426,19711,3,0,False,False,False,7704,6100,TOP,0,0,3047,2033,3076,6662,1011,0,3340,3,TOP,0,2,582,12486,5430,0,0,4752,8093,81,47,52,6,2,4,3,12,ImBEnZxvjmgxQD-eTImGyzpyiXcSrBwjAyjkoPd1wfM6-wE,False,200,29,1336,17238,0,13905,2391,0,131,579,80,0,382,3,1,11,0,1,6,True
0,9,4035079666,CLASSIC,0,6,10391,13,Graves,13888,10732,3,2,False,False,False,9415,8150,JUNGLE,0,0,3047,2031,6673,3071,1036,0,3364,7,JUNGLE,251,6,248,502,6593,0,0,11654,9732,75,15,28,9,14,11,4,4,CuINpTVVHh0Fwt9UdrOqcVjeMfx_Py0wvAKFWgyGXVZ2Lc4,False,200,16,1336,13189,0,18231,6424,0,20,420,49,1032,1905,4,1,9,0,2,0,True
0,10,4035079666,CLASSIC,0,6,9794,12,Vladimir,3461,4729,2,0,False,False,False,9913,8625,MIDDLE,1,0,3041,1058,3152,3158,2055,1058,3363,8,MIDDLE,0,6,476,11403,5037,0,0,866,7406,176,6,45,5,3,4,5,14,qJ0UpP6XUZQFE8TUjaUYZU2MqPXiWoZKMIXPhAcGqmhlcCY,False,200,2,1336,12744,0,13240,12062,0,112,29,37,474,796,3,1,22,4,1,8,True
0,7,4035079666,CLASSIC,0,2,9795,12,Tristana,14612,4572,4,0,False,False,False,11557,10700,BOTTOM,1,0,1055,6672,2055,3006,3046,3026,3340,6,BOTTOM,433,3,452,1158,2543,0,0,10410,8587,25,20,25,3,2,4,4,7,3FeZW4eKSDoy_WDU1d4CrREoZo3bYy5fw-koMDSUDGCI7MU,False,200,2,1336,13180,0,12393,5309,427,161,20,71,1611,1261,8,1,14,2,2,8,True
0,10,4035079666,CLASSIC,0,2,7821,11,Brand,3019,2117,0,0,False,False,False,6864,5760,UTILITY,0,0,3853,6653,3020,2055,1052,0,3364,2,BOTTOM,0,2,1331,10019,915,0,0,510,4447,33,55,32,8,3,3,2,4,pNSCvLqWLpyPypXk_9psgEyTBQIe7tK3EoiwZc16tv5xcrw,False,200,17,1336,10529,0,5522,758,0,26,32,0,0,160,5,1,53,5,8,22,True
0,3,4035079668,CLASSIC,0,0,11939,14,Vayne,15064,8702,4,0,False,False,False,10795,10575,TOP,1,0,6673,3153,3006,1038,1037,0,3340,6,TOP,396,2,820,317,5483,0,0,13449,9224,155,0,9,8,4,6,3,4,dU6qgdHVcmo7cfJLfh2mA7kaw26ypozagcYfNAeTqmmL-GRjuS-buDtT7w,False,100,6,1425,16117,0,15100,3041,0,146,13,154,2350,392,4,0,10,2,1,5,True
0,6,4035079668,CLASSIC,1,4,12039,14,Udyr,37834,14878,3,3,True,False,False,10173,8933,JUNGLE,0,0,3078,2031,3111,3153,1031,0,3340,5,JUNGLE,0,4,468,0,5613,0,0,6018,12134,96,54,90,0,2,4,12,11,fB6UbRpsqk42s1yzfyljpsFoU7lsBVygUHn4ngB_r12axWT6,False,100,12,1425,6264,0,18655,8940,0,21,116,52,246,908,4,0,20,0,2,8,True
0,4,4035079668,CLASSIC,0,0,11671,14,Neeko,9843,8906,4,0,False,False,False,11030,10125,MIDDLE,1,0,4628,6656,2420,2055,3020,1058,3340,9,TOP,0,4,665,22763,6428,0,0,1661,6708,66,27,43,12,5,14,3,4,Jjonhx3M13maAtnU5zIrfU6BrMAnhdp48bsT2R3ttJpjuF8,False,100,43,1425,25218,0,13812,2364,0,122,172,150,793,675,3,0,7,1,0,4,True
0,10,4035079668,CLASSIC,0,2,11952,14,Ezreal,6938,9016,4,0,False,True,False,12267,10468,BOTTOM,0,0,3004,3078,3158,0,3110,0,3340,10,MIDDLE,0,3,423,8932,6989,0,0,21807,6968,262,62,28,9,5,7,5,4,T_M0SsMqb6TJiovlz2MBkJGuGzk2OkHzYtIO5-BkW2Qdzk0,False,100,10,1425,32021,0,14650,2173,967,141,456,108,1280,692,4,0,16,1,1,8,True
0,11,4035079668,CLASSIC,0,0,9401,12,Janna,2194,8666,7,0,True,False,False,8291,8075,UTILITY,1,0,3853,2065,3158,3504,4642,3916,3340,3,MIDDLE,0,0,418,8097,7458,0,0,634,6316,90,63,34,6,4,4,5,3,IerA_ZP2kHdTgmBpCg91OidFXH26C1DfemB7skjMygqottQ,False,100,45,1425,8787,1527,15044,4632,2665,27,242,192,56,1269,3,0,26,1,3,12,True
0,4,4035079668,CLASSIC,0,1,12405,14,Kayle,1157,10784,2,0,False,False,False,7355,6200,TOP,0,4,1056,2031,2055,3006,3115,4635,3340,1,TOP,0,0,671,3810,5318,1,0,2337,13785,43,23,68,5,3,4,2,12,o3AvneLhINpTVhGda3t0l_D7-Fcday_nnmgQmFaUn6nn9zaY,False,200,5,1425,6147,0,20276,2983,317,145,154,60,0,1173,0,11,14,2,0,4,False
0,8,4035079668,CLASSIC,0,0,8546,11,Warwick,4595,18542,9,1,False,False,False,8615,8425,JUNGLE,0,4,6632,2031,3748,3047,2055,0,3364,7,JUNGLE,0,2,380,4533,10862,1,0,2452,17767,61,4,39,6,11,11,3,4,QvDmIJmMZgB68f6-UB3IMm4mry0lmS86VHtARnIjNnz2ES0,False,200,27,1425,7197,0,29655,8978,0,12,246,210,210,1025,0,11,20,3,2,4,False
